City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,pevek,69.7008,170.3133,-9.2,97,25,0.63,RU,1675317155
110,avera,33.194,-82.5271,57.25,82,95,4.23,US,1675317156
111,nome,64.5011,-165.4064,19.47,100,100,8.05,US,1675317116
112,meiganga,6.5167,14.3,65.5,30,5,2.55,CM,1675317157
113,zhigansk,66.7697,123.3711,-25.8,96,100,16.2,RU,1675317157
114,sobolevo,54.4299,31.8996,31.8,96,100,10.29,RU,1675317158
115,serik,36.9169,31.0989,43.05,57,20,15.05,TR,1675317159
116,muli,2.9167,73.5667,80.56,64,51,10.96,MV,1675317159
117,thunder bay,48.4001,-89.3168,4.98,66,100,4.61,CA,1675316891
118,mandera,3.9366,41.867,81.07,53,17,8.97,KE,1675317162
119,hervey bay,-25.2986,152.8535,82.47,76,49,4.81,AU,1675317162
120,makakilo city,21.3469,-158.0858,77.32,75,75,4.61,US,1675317163
121,muisne,0.6,-80.0333,74.97,91,68,3.29,EC,1675317164
122,denpasar,-8.65,115.2167,85.66,79,40,6.91,ID,1675317120
123,wamba,8.9333,8.6,71.1,23,8,1.97,NG,1675317165
124,necochea,-38.5473,-58.7368,64.69,81,93,6.22,AR,1675317165
125,sao filipe,14.8961,-24.4956,70.41,73,79,12.82,CV,1675317164
126,iqaluit,63.7506,-68.5145,-29.47,62,40,2.3,CA,1675317166
127,pak phanang,8.3511,100.202,89.62,66,94,5.3,TH,1675317167
128,mount isa,-20.7333,139.5,83.97,48,75,2.3,AU,1675317168
129,ilulissat,69.2167,-51.1,12.22,44,86,19.57,GL,1675317168
130,yakeshi,49.2833,120.7333,-2.33,88,82,5.91,CN,1675317169
131,adre,13.4667,22.2,64.87,23,10,15.14,TD,1675317170
132,albany,42.6001,-73.9662,20.44,63,20,1.99,US,1675316954
133,barcelos,41.5388,-8.6151,45.84,80,0,5.84,PT,1675317171
134,lulea,65.5842,22.1547,17.67,93,75,14.97,SE,1675317148
135,san patricio,28.017,-97.5169,39.07,90,100,9.91,US,1675317053
136,elizabeth city,36.2946,-76.2511,40.01,74,100,6.91,US,1675317173
137,teguldet,57.3064,88.1667,9.66,92,96,2.51,RU,1675317173
138,carnarvon,-24.8667,113.6333,86.11,62,41,17.6,AU,1675317174
139,cap malheureux,-19.9842,57.6142,86.47,69,3,5.99,MU,1675317175
140,narsaq,60.9167,-46.05,17.82,88,97,3.51,GL,1675317176
141,geraldton,-28.7667,114.6,100.81,22,14,23.02,AU,1675317177
142,nanortalik,60.1432,-45.2371,15.98,84,89,11.1,GL,1675317177
143,jardim do serido,-6.5844,-36.7744,75.38,75,49,7.58,BR,1675317178
144,ossora,59.2353,163.0719,11.61,84,99,6.64,RU,1675317179
145,portland,45.5234,-122.6762,39.94,77,40,6.91,US,1675316905
146,zhangye,38.9342,100.4517,36.41,32,51,1.9,CN,1675317180
147,kodiak,57.79,-152.4072,31.51,86,100,4.61,US,1675317039
148,port augusta,-32.5,137.7667,77.85,35,1,23.64,AU,1675317181
149,salalah,17.0151,54.0924,75.29,53,75,5.75,OM,1675317157
150,antalaha,-14.9003,50.2788,83.21,70,40,6.96,MG,1675317182
151,bredasdorp,-34.5322,20.0403,67.32,69,10,1.57,ZA,1675317179
152,longyearbyen,78.2186,15.6401,10.24,61,20,19.57,SJ,1675317184
153,vredendal,-31.6683,18.5012,66.22,82,17,0.74,ZA,1675317185
154,kismayo,-0.3582,42.5454,79.2,75,98,11.52,SO,1675317186
155,desaguadero,-16.5656,-69.0417,45.09,84,99,8.05,PE,1675317188
156,sayansk,54.1088,102.1648,11.5,91,100,3.27,RU,1675317189
157,chuy,-33.6971,-53.4616,69.48,82,59,5.35,UY,1675317190
158,burnie,-41.0667,145.9167,53.94,99,100,12.46,AU,1675316952
159,fortuna,40.5982,-124.1573,47.93,69,0,5.99,US,1675317191
160,paamiut,61.994,-49.6678,10.2,78,91,7.36,GL,1675317193
161,sorong,-0.8833,131.25,83.5,77,68,11.48,ID,1675316754
162,fayaoue,-20.65,166.5333,81.28,59,85,3.04,NC,1675317194
163,marienburg,54.0359,19.0266,36.9,98,99,6.42,PL,1675317195
164,providencia,28.7167,-111.5833,47.41,77,15,3.91,MX,1675317195
165,kijang,35.2442,129.2139,46.13,49,95,5.68,KR,1675316898
166,touros,-5.1989,-35.4608,78.53,77,100,9.42,BR,1675317063
167,ahipara,-35.1667,173.1667,73.13,77,100,6.64,NZ,1675317198
168,kahului,20.8947,-156.47,75.85,85,20,8.05,US,1675317198
169,alta floresta,-9.8756,-56.0861,69.49,97,100,2.28,BR,1675317199
170,belmonte,-15.8631,-38.8828,74.95,84,12,5.26,BR,1675317200
171,leshukonskoye,64.8989,45.7622,13.23,97,93,6.13,RU,1675317201
172,provideniya,64.3833,-173.3,24.91,74,75,15.66,RU,1675317202
173,sinnamary,5.3833,-52.95,74.3,91,91,4.32,GF,1675317203
174,pacific grove,36.6177,-121.9166,47.88,90,0,4.61,US,1675317204
175,kununurra,-15.7667,128.7333,93.18,55,43,10.36,AU,1675317205
176,nouadhibou,20.931,-17.0347,58.98,88,96,14.97,MR,1675317205
177,vao,-22.6667,167.4833,80.58,75,64,8.16,NC,1675317206
178,mahebourg,-20.4081,57.7,86.25,74,40,5.75,MU,1675317207
179,eagle,43.6954,-116.354,25.81,79,0,3.44,US,1675317208
180,grafton,42.207,-71.6856,22.82,62,0,5.75,US,1675317208
181,roald,62.5833,6.1333,34.75,93,75,8.05,NO,1675317209
182,cape town,-33.9258,18.4232,70.38,67,0,11.01,ZA,1675317115
183,kungurtug,50.5994,97.5228,9.05,87,27,1.43,RU,1675317210
184,kurilsk,45.2333,147.8833,22.51,92,97,44.49,RU,1675317211
185,asau,46.4333,26.4,27.52,85,99,7.52,RO,1675317212
186,saint george,37.1041,-113.5841,36.19,53,0,3.44,US,1675317213
187,san carlos de bariloche,-41.1456,-71.3082,55.15,58,0,2.3,AR,1675317214
188,duku,11.2361,4.9073,73.67,17,60,6.58,NG,1675317214
189,khani,41.9563,42.9566,33.37,98,100,0.47,GE,1675317215
190,norman wells,65.282,-126.8329,-39.96,67,20,0.0,CA,1675317216
191,ahuimanu,21.4447,-157.8378,78.51,83,40,4.61,US,1675317216
192,bandarbeyla,9.4942,50.8122,76.95,57,6,15.7,SO,1675317217
193,victoria,22.2855,114.1577,75.96,70,31,17.0,HK,1675317218
194,lat yao,15.751,99.7893,93.83,21,12,3.76,TH,1675317218
195,ekibastuz,51.6667,75.3667,6.28,93,56,5.08,KZ,1675317219
196,kavieng,-2.5744,150.7967,85.53,63,96,8.3,PG,1675317220
197,yulara,-25.2406,130.9889,89.24,22,0,22.93,AU,1675317221
198,kaitangata,-46.2817,169.8464,73.72,63,93,4.12,NZ,1675317222
199,barrow,71.2906,-156.7887,-5.78,77,0,20.71,US,1675317222
200,zyryanskoye,56.8306,86.6258,8.8,91,69,1.68,RU,1675317223
201,hamilton,39.1834,-84.5333,27.93,70,0,0.0,US,1675317052
202,goderich,43.7501,-81.7165,27.91,63,97,20.71,CA,1675317224
203,khandyga,62.6667,135.6,-23.03,92,100,2.75,RU,1675317225
204,constitucion,-35.3333,-72.4167,62.53,51,0,9.19,CL,1675317226
205,shirokiy,49.758,129.523,0.86,78,7,12.1,RU,1675317226
206,bronnoysund,65.4625,12.1997,26.6,86,75,3.44,NO,1675317227
207,nova londrina,-22.7658,-52.985,71.01,95,66,4.76,BR,1675317228
208,hasaki,35.7333,140.8333,50.29,36,100,11.45,JP,1675317228
209,chumikan,54.7183,135.315,-5.8,82,85,17.6,RU,1675317229
210,hambantota,6.1241,81.1185,79.14,100,40,3.44,LK,1675317188
211,broome,42.2506,-75.833,19.0,74,0,5.75,US,1675317082
212,wagar,16.1525,36.2032,71.01,70,24,14.47,SD,1675317231
213,sattahip,12.6664,100.9007,91.98,62,20,11.5,TH,1675317232
214,magistralnyy,56.1725,107.4458,13.26,82,100,3.0,RU,1675317233
215,thompson,55.7435,-97.8558,-23.64,57,20,16.11,CA,1675317008
216,zyryanka,65.75,150.85,-29.72,99,93,4.68,RU,1675317234
217,margate,51.3813,1.3862,43.88,81,86,3.0,GB,1675317004
218,sanmenxia,34.7747,111.1814,41.99,25,100,6.02,CN,1675317235
219,peterhead,57.5058,-1.7981,39.6,96,100,12.55,GB,1675317235
220,victor harbor,-35.5667,138.6167,63.0,66,77,1.01,AU,1675317236
221,paramonga,-10.6667,-77.8333,70.65,85,100,4.94,PE,1675317237
222,martapura,-3.4167,114.85,77.09,88,40,3.44,ID,1675317237
223,souillac,-20.5167,57.5167,84.58,74,40,5.75,MU,1675317238
224,sistranda,63.7256,8.834,35.56,58,99,14.83,NO,1675317239
225,waitati,-45.75,170.5667,70.81,84,100,3.69,NZ,1675317239
226,deputatskiy,69.3,139.9,-17.16,97,100,3.74,RU,1675317241
227,rock springs,41.5875,-109.2029,22.44,68,0,11.5,US,1675317241
228,gimli,50.6336,-96.9907,-5.78,54,100,17.27,CA,1675317243
229,ust-ilimsk,58.0006,102.6619,9.61,88,100,6.8,RU,1675317205
230,namibe,-15.1961,12.1522,72.61,77,100,4.56,AO,1675317244
231,luderitz,-26.6481,15.1594,65.46,69,23,16.96,NA,1675317245
232,waingapu,-9.6567,120.2641,83.41,77,100,11.5,ID,1675317248
233,noyabrsk,63.1994,75.4507,13.41,95,92,12.19,RU,1675317249
234,camara de lobos,32.6333,-16.9667,61.43,81,75,12.66,PT,1675317250
235,koslan,63.4564,48.8989,12.63,99,95,4.21,RU,1675317252
236,kontagora,10.3999,5.4695,72.61,18,62,7.09,NG,1675317253
237,poronaysk,49.2167,143.1167,6.91,72,98,14.81,RU,1675317255
238,la ronge,55.1001,-105.2842,-19.95,63,0,10.36,CA,1675317255
239,tayu,-6.5397,111.0518,79.66,85,100,8.59,ID,1675317256
240,teguise,29.0605,-13.564,59.22,67,20,16.11,ES,1675317257
241,santa maria,-29.6842,-53.8069,72.3,84,3,7.7,BR,1675317116
242,andenes,69.3143,16.1194,27.93,93,0,9.22,NO,1675317259
243,mar del plata,-38.0023,-57.5575,71.1,87,0,8.99,AR,1675317194
244,rabo de peixe,37.8,-25.5833,54.91,76,40,5.75,PT,1675317261
245,muroto,33.2833,134.15,49.12,66,96,13.44,JP,1675317262
246,izazi,-7.2,35.7333,75.13,72,75,1.61,TZ,1675317263
247,roma,43.2128,-75.4557,22.37,70,40,3.0,US,1675317264
248,kailua,21.4022,-157.7394,78.78,89,99,1.99,US,1675316966
249,katsuura,35.1333,140.3,47.16,35,100,7.72,JP,1675317005
250,komsomolskiy,40.4272,71.7189,41.72,52,100,4.61,UZ,1675317266
251,trincomalee,8.5711,81.2335,79.03,83,100,15.73,LK,1675317267
252,ukiah,39.1502,-123.2078,46.15,79,63,1.01,US,1675317036
253,balezino,57.9796,53.0106,5.38,92,91,4.63,RU,1675317271
254,guerrero negro,27.9769,-114.0611,56.66,66,0,1.07,MX,1675317272
255,ganzhou,28.8184,115.4327,45.75,57,100,8.16,CN,1675317273
256,mujiayingzi,42.1167,118.7833,23.63,15,24,2.86,CN,1675317274
257,serenje,-13.2325,30.2352,66.31,91,99,3.0,ZM,1675317274
258,thinadhoo,0.5333,72.9333,81.14,69,57,15.93,MV,1675317276
259,inirida,3.8653,-67.9239,72.27,71,18,2.55,CO,1675317277
260,boende,-0.2167,20.8667,73.33,87,99,3.42,CD,1675317277
261,manzil salim,35.8567,8.4765,37.47,88,12,4.23,TN,1675317278
262,vostok,46.4856,135.8833,2.43,91,100,12.19,RU,1675317279
263,ouallam,14.3188,2.0866,70.7,18,43,9.95,NE,1675317279
264,wahpeton,46.2652,-96.6059,5.92,85,40,0.0,US,1675317280
265,padang,-0.9492,100.3543,87.85,62,82,6.93,ID,1675317281
266,itaquyry,-24.9333,-55.2167,70.5,95,3,2.37,PY,1675317282
267,buenos aires,-34.6132,-58.3772,74.98,75,100,18.41,AR,1675317121
268,gigmoto,13.7796,124.39,80.22,84,27,11.59,PH,1675317283
269,itoman,26.1247,127.6694,70.18,74,75,19.57,JP,1675317284
270,tondano,1.3038,124.9112,69.89,93,100,2.48,ID,1675317284
271,mercaderes,1.8009,-77.166,64.45,93,92,0.96,CO,1675317285
272,heyang,26.1011,107.473,43.72,85,100,5.35,CN,1675317286
273,freetown,8.484,-13.2299,78.51,89,40,5.75,SL,1675317156
274,novikovo,51.1537,37.8879,26.15,90,68,6.49,RU,1675317287
275,sergeyevka,53.88,67.4158,7.5,93,21,4.65,KZ,1675317288
276,hami,42.8,93.45,28.51,44,75,3.13,CN,1675317288
277,oksfjord,70.2396,22.3479,17.78,81,92,5.06,NO,1675317289
278,taoudenni,22.6783,-3.9836,53.13,23,82,12.39,ML,1675317290
279,tacuarembo,-31.7333,-55.9833,68.99,88,4,8.86,UY,1675317290
280,cayenne,4.9333,-52.3333,71.64,100,100,3.44,GF,1675317292
281,canete,-37.8,-73.4,53.51,73,0,5.53,CL,1675317292
282,coihaique,-45.5752,-72.0662,55.35,58,0,2.3,CL,1675317119
283,amazar,53.858,120.875,5.99,71,13,2.73,RU,1675317294
284,kathmandu,27.7167,85.3167,66.83,41,20,3.44,NP,1675317272
285,vardo,70.3705,31.1107,28.38,74,40,11.5,NO,1675317296
286,koutsouras,35.0339,25.9469,46.11,68,6,4.0,GR,1675317297
287,mezen,65.8522,44.24,14.68,96,66,7.85,RU,1675317297
288,lebu,-37.6167,-73.65,55.0,88,0,18.37,CL,1675317298
289,borgarnes,64.5383,-21.9206,33.85,84,100,12.82,IS,1675317299
290,bambous virieux,-20.3428,57.7575,85.21,74,40,5.75,MU,1675317299
291,tuatapere,-46.1333,167.6833,70.54,69,100,3.02,NZ,1675317300
292,dvinskoy,62.1535,45.1175,8.22,100,94,3.47,RU,1675317301
293,kiruna,67.8557,20.2251,5.92,85,20,4.61,SE,1675317302
294,dikson,73.5069,80.5464,-6.23,94,93,7.18,RU,1675317125
295,schwandorf,49.3262,12.1093,35.47,99,100,7.43,DE,1675317305
296,saint-augustin,51.226,-58.6502,-9.65,94,76,4.09,CA,1675317306
297,linhai,28.85,121.1167,48.92,37,69,4.76,CN,1675317307
298,guanica,17.9716,-66.908,74.19,82,2,4.9,PR,1675317300
299,aldan,58.6031,125.3894,-2.4,93,100,11.16,RU,1675317309
300,kushmurun,52.4503,64.6311,5.2,82,9,5.61,KZ,1675317311
301,kropotkin,45.4375,40.5756,34.7,91,100,4.45,RU,1675317312
302,lewiston,44.1003,-70.2148,19.38,85,19,2.91,US,1675317313
303,brae,60.3964,-1.353,39.65,70,100,5.1,GB,1675317315
304,villa bruzual,9.3328,-69.1208,71.55,71,3,7.83,VE,1675317315
305,turkistan,43.0,68.0,41.9,90,100,11.92,KZ,1675317317
306,lelystad,52.5083,5.475,47.01,89,100,17.22,NL,1675317318
307,pasni,25.2631,63.471,68.05,55,0,3.44,PK,1675317320
308,tiznit,29.5833,-9.5,46.83,38,0,3.42,MA,1675317297
309,ibra,22.6906,58.5334,68.9,49,0,3.31,OM,1675317322
310,tulun,54.5611,100.5792,15.69,88,100,2.73,RU,1675317323
311,ekimchan,53.0667,132.9667,-7.33,87,99,2.28,RU,1675317324
312,roebourne,-20.7833,117.1333,95.32,44,11,15.68,AU,1675317325
313,maxixe,-23.8597,35.3472,81.0,59,10,7.43,MZ,1675317326
314,araouane,18.9048,-3.5265,57.0,17,38,9.98,ML,1675317327
315,frunze,48.6686,38.7544,27.59,87,77,4.81,UA,1675317330
316,jatai,-17.8814,-51.7144,67.28,90,97,2.57,BR,1675317331
317,caloundra,-26.8,153.1333,82.13,85,86,8.99,AU,1675317332
318,amuntai,-2.4177,115.2494,73.04,99,100,3.44,ID,1675317333
319,kentville,45.0835,-64.4988,14.4,85,75,1.14,CA,1675317334
320,pisco,-13.7,-76.2167,73.45,83,0,9.22,PE,1675317334
321,kruisfontein,-34.0033,24.7314,64.89,49,71,3.74,ZA,1675317217
322,haines junction,60.7522,-137.5108,3.15,85,100,1.14,CA,1675317336
323,millville,39.4021,-75.0393,30.88,84,0,0.0,US,1675317336
324,porto velho,-8.7619,-63.9039,75.25,94,0,2.3,BR,1675317338
325,bullhead city,35.1478,-114.5683,55.69,19,0,19.57,US,1675317338
326,petropavlovsk-kamchatskiy,53.0452,158.6483,14.59,53,0,2.24,RU,1675317339
327,douglas,41.3,-96.167,27.48,76,0,6.91,US,1675317340
328,ninghai,29.2892,121.4247,52.05,54,62,7.09,CN,1675317341
329,catamarca,-28.4696,-65.7852,74.59,87,61,4.0,AR,1675317053
330,amapa,1.0,-52.0,69.96,100,100,0.94,BR,1675317342
331,manado,1.487,124.8455,77.77,94,40,3.44,ID,1675317343
332,fethiye,36.6217,29.1164,35.47,48,5,8.37,TR,1675317344
333,saint-philippe,-21.3585,55.7679,83.79,73,13,8.05,RE,1675317344
334,murray bridge,-35.1167,139.2667,67.12,55,82,23.44,AU,1675317345
335,faanui,-16.4833,-151.75,82.0,74,28,19.35,PF,1675317346
336,esperance,-33.8667,121.9,67.57,71,98,13.0,AU,1675317347
337,vavoua,7.3819,-6.4778,67.06,92,21,3.04,CI,1675317348
338,whitehorse,60.7161,-135.0538,12.97,67,75,12.66,CA,1675317348
339,kangaatsiaq,68.3065,-53.4641,-2.81,95,75,14.09,GL,1675317349
340,north bend,43.4065,-124.2243,44.08,100,0,9.22,US,1675317350
341,micco,27.8806,-80.5003,73.0,93,67,6.53,US,1675317207
342,toora-khem,52.4675,96.11,9.21,87,89,1.43,RU,1675317351
343,srednekolymsk,67.45,153.6833,-26.21,99,93,5.97,RU,1675317352
344,flinders,-34.5833,150.8552,91.26,72,20,5.99,AU,1675317353
345,pleshanovo,52.8333,53.4833,13.51,96,90,6.69,RU,1675317353
346,okara,30.8081,73.4458,73.35,16,44,7.61,PK,1675317354
347,olafsvik,64.8945,-23.7142,29.5,94,100,27.83,IS,1675317355
348,sao joao da barra,-21.6403,-41.0511,74.1,91,97,9.22,BR,1675317256
349,blackwater,-23.5833,148.8833,94.46,33,44,10.69,AU,1675317356
350,shellbrook,53.2168,-106.4011,-17.37,94,11,8.19,CA,1675317356
351,awbari,26.5921,12.7805,44.46,51,68,7.76,LY,1675317357
352,lasa,46.6166,10.7002,38.28,93,56,7.7,IT,1675317358
353,laguna,38.421,-121.4238,49.17,76,0,0.0,US,1675317359
354,saint-pierre,-21.3393,55.4781,83.88,58,0,11.5,RE,1675317360
355,yinchuan,38.4681,106.2731,32.18,18,97,4.5,CN,1675317361
356,mengen,48.0495,9.3301,39.29,88,97,13.49,DE,1675317364
357,te anau,-45.4167,167.7167,64.8,88,100,1.05,NZ,1675317365
358,atar,20.5169,-13.0499,63.0,13,100,5.86,MR,1675317366
359,ostrovnoy,68.0531,39.5131,16.86,91,49,21.65,RU,1675317367
360,miranda,3.2499,-76.2281,69.93,86,71,4.79,CO,1675317368
